,dem3s_int,ADBed,Pclay,pH,Psand,Psilt,SOC,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,HLI,CTI
RC1,-0.09737629,0.459838358,0.28653202,0.383821405,-0.165376834,-0.234923065,-0.692614446,0.468235879,0.846018972,-0.04067157,0.902896562,0.749913495,-0.178218147,0.970287827,0.065083629,0.218867284,0.652655522,0.171752146,-0.291480065,-0.104040657,-0.111106539,-0.003295562,-0.208062132,-0.16868809,-0.063763033,-0.183838389,0.045665263,0.151108707
RC2,0.382415052,-0.38904615,0.040152557,-0.328857491,-0.169093357,0.26478024,0.3774998,0.080725896,0.014903834,0.217365892,-0.222073313,0.020068766,0.218434394,-0.128764774,0.262344745,-0.200365864,-0.035605204,0.120696887,0.748039379,0.924762719,0.201864482,0.844446605,0.930014518,0.278094298,0.764356264,0.214282373,-0.002421813,-0.064496062
RC6,-0.717227511,0.24953981,0.359489444,0.159103843,-0.318153219,-0.092255821,-0.203996153,0.81974334,0.008491287,-0.016876692,0.042942973,0.587320889,0.912863852,0.030332765,0.293066949,0.268589097,0.687078225,0.926038384,-0.121253788,0.099710601,-0.322201735,0.274671013,0.0245717,-0.24981478,0.025132707,-0.128876869,0.019777965,0.052014917
RC3,0.431255478,-0.136186199,-0.023822521,0.213839434,-0.012474907,0.087279546,0.068485342,0.098797766,0.126873479,0.26200461,-0.096337446,0.0873169,0.161389627,-0.013288588,0.865959695,-0.814133585,0.01174749,0.061153734,-0.079211354,0.149729837,-0.032123381,0.079447341,-0.016601839,0.009050054,0.540964922,-0.813960286,0.006137832,-0.01632792
RC4,0.273462085,-0.187823587,-0.192659796,-0.370036586,0.082651077,0.244500567,0.235733365,-0.151716976,-0.066505155,-0.021804689,-0.033603651,-0.144689336,-0.144201728,-0.063406862,0.034925512,-0.105403294,-0.133872922,-0.176725622,0.531355341,0.231995883,0.865859823,-0.373790139,0.243588865,0.874291068,0.245410128,0.376261386,-0.067620048,-0.064613489
RC5,-0.085970304,0.519315416,0.830830872,0.474336694,-0.856823171,0.076066232,-0.043501356,0.248345231,0.150511077,0.040401043,0.123003491,0.229559541,0.17255564,0.139579784,0.062629754,0.154641204,0.235140735,0.230300329,-0.123900621,0.011261683,-0.151634331,0.151900959,-0.015081406,-0.178177458,0.026138487,-0.091543698,-0.023615648,0.069278859
RC9,-0.018098978,-0.03315388,0.031637943,0.237981277,-0.019468519,-0.011946274,-0.02329135,-0.025603536,0.471422245,0.92834833,-0.286497228,-0.008156773,-0.009371257,-0.002713609,0.101564647,-0.157420718,-0.13176603,0.05622491,0.011423358,0.06196939,-0.007446183,0.15674267,0.074705248,-0.011942532,0.072443698,-0.119402201,0.05313683,0.006505123
RC10,0.036788843,-0.170199859,-0.140518508,0.11096555,-0.252388691,0.879982898,0.181437978,-0.041885067,-0.028092327,-0.0104907,-0.092773955,-0.047496681,-0.028162558,-0.034106388,0.053812175,-0.079100015,-0.061961857,-0.01800801,0.120099706,0.123907602,0.150478927,-0.000520604,0.080567804,0.126187506,0.102094132,0.04997719,-0.010034411,-0.001519319
RC7,-0.018080398,-0.005422684,0.075473513,-0.105456252,-0.07277514,-0.002416728,-0.15374277,0.039575185,0.046431707,0.005373574,0.043440434,0.0490423,0.000353454,0.055129563,-0.006536892,0.069035618,0.048845588,0.029487439,-0.045203244,-0.032657991,-0.070013038,-0.015032888,-0.034892828,-0.037508487,-0.005432133,-0.05386851,0.009847203,0.97310023
RC8,0.000974359,0.010962542,-0.010800823,-0.074164076,0.01421929,-0.013731376,0.042740779,0.014427527,0.057694609,0.059860417,0.004357626,0.031736754,-0.001881351,0.037138781,0.013015761,-0.00015047,0.012679512,0.014528111,-0.006369783,-0.004770253,-0.078170204,0.028035158,-0.012348101,-0.039464927,-0.012665181,0.000221963,0.992792971,0.010466616
